,Ticker,Drug,Indication,Stage,Catalyst-date,Catalyst-note
1024,CLSD,Suprachoroidal CLS-TA - TYBEE,Diabetic Macular Edema (DME),phase2,05/31/2018,"Phase 2 data released May 31, 2018 - mixed data. 12.3 ETDRS letters compared to 13.5 ETDRS letters in control arm."
1025,KTOV,KIT-302,Osteoarthritis and Hypertension,approved,05/31/2018,"Approval announced May 31, 2018."
1026,VKTX,VK2809,Hypercholesterolemia and Non-Alcoholic Fatty Liver Disease,phase2,05/31/2018,Sympathy trade following positive MDGL data.
1027,LGND,VK2809,Hypercholesterolemia and Non-Alcoholic Fatty Liver Disease,phase2,05/31/2018,Sympathy trade following positive MDGL data.
1028,SCPH,Furoscix,Heart failure,pdufa,05/31/2018,"PDUFA June 23, 2018. Noted May 31, 2018 that the FDA has identified deficiencies that preclude discussion of labeling and post-marketing requirements."
1029,MDGL,MGL-3196 (resmetirom),Non-alcoholic steatohepatitis (NASH),phase2,05/31/2018,"Top-line 36-week data released May 31, 2018 met primary endpoint."
1030,MEIP,Pracinostat in combination with Vidaza,High-risk Myelodysplastic Syndrome (MDS),phase2,05/31/2018,"Phase 2 commencement of dosing announced June 14, 2017 - analysis from first stage released May 31, 2018 - trial to expand enrollment."
1031,SLS,NeuVax in combination with Herceptin,Breast cancer - 1+/2+,phase2b,06/01/2018,"Noted June 1, 2018 that trial to be discontinued with trial meeting clinical objectives."
1032,INCY,Baricitinib,Rheumatoid arthritis,approved,06/01/2018,"FDA approval announced for low dose only - June 1, 2018."
1033,LLY,Baricitinib,Rheumatoid arthritis,approved,06/01/2018,"FDA approval announced for low dose only - June 1, 2018."
1034,AMGN,KYPROLIS (ARROW),Multiple Myeloma,phase3,06/01/2018,"Phase 3 trial data presented at ASCO June 1, 2018. 3.6 month improvement in PFS."
1035,LGND,KYPROLIS (ARROW),Multiple Myeloma,phase3,06/01/2018,"Phase 3 trial data presented at ASCO June 1, 2018. 3.6 month improvement in PFS."
1036,AGIO,Vorasidenib (AG-881),Glioma,phase1,06/01/2018,"Phase 1 data presented at ASCO June 1, 2018. 1 minor response + 1 partial response out of 93 patients."
1037,MTEM,MT-3724 and chemotherapy,Relapsed/refractory diffuse large B-cell lymphoma (DLBCL),phase1.5,06/01/2018,Phase 2 trial to be initiated 2H 2018. Phase 1 data presented at ASCO June 2018. ORR 30%.
1038,BLUE,bb2121 - KarMMa,Relapsed/refractory multiple myeloma,phase1,06/01/2018,"Further data due at ASCO June 1, 2018 noted PFS of 11.8 months."
1039,CELG,bb2121 - KarMMa,Relapsed/refractory multiple myeloma,phase1,06/01/2018,"Further data due at ASCO June 1, 2018 noted PFS of 11.8 months."
1040,AMGN,ABP 980 (Kanjinti; trastuzumab-anns),Herceptin biosimilar,crl,06/01/2018,"CRL issued June 1, 2018."
1041,PBYI,Neratinib plus Kadcyla (T-DM1) ,HER2-positive metastatic breast cancer,phase1.5,06/02/2018,"Phase 1/2 interim data presented at ASCO June 2018. 9 PRs, 3CRs out of 20 patients."
1042,AGIO,AG-120 Ivosidenib,R/R Acute Myeloid Leukemia (AML),phase1,06/02/2018,Phase 1 data at ASCO June 2018 noted CR rate was 24%.
1043,GTHX,Lerociclib (G1T38) plus Faslodex,ER+ breast cancer,phase1b,06/02/2018,Phase 1b preliminary released at ASCO 2018 - 17% PR.
1044,LLY,LOXO-292,"RET-fusion non-small cell lung cancer (NSCLC), medullary thyroid cancer (MTC) and other tumors",phase1,06/02/2018,"Phase 1 data presented at ASCO June 2018 - 77% ORR RET Fusion Cancers, 45% ORR for Medullary Thyroid Cancer (MTC)."
1045,CLDX,Varlilumab and nivolumab,Solid tumors - cancer,phase2,06/02/2018,"Data at ASCO 2018 noted ORR 14%, DCR 38% for ovarian, 20% for Colorectal cancer."
1046,RHHBY,Tecentriq+cb+pac/nab-pac - IMpower131,Squamous non-small cell lung cancer (NSCLC),phase3,06/02/2018,Phase 3 PFS endpoint met - PFS=6.3 vs. 5.6 months for chemo. HR 0.71.
1047,NKTR,NKTR-214 + OPDIVO (nivolumab) - PIVOT-2,"Urothelial carcinoma, Melanoma, Renal Cell Carcinoma and Non-Small Cell Lung Cancers",phase1.5,06/02/2018,"Phase 1/2 preliminary data at ASCO 2018. PR rates - Melanoma 50%; RCC 46%; Urothelial Carcinoma 60%. Updated data likely at SITC meeting November 7-11, 2018."
1048,BMY,NKTR-214 + OPDIVO (nivolumab) - PIVOT-2,"Urothelial carcinoma, Melanoma, Renal Cell Carcinoma and Non-Small Cell Lung Cancers",phase1.5,06/02/2018,"Phase 1/2 preliminary data at ASCO 2018. PR rates - Melanoma 50%; RCC 46%; Urothelial Carcinoma 60%. Updated data likely at SITC meeting November 7-11, 2018."
1049,MRK,Keytruda - KEYNOTE-042,Non-small cell lung cancer (NSCLC),phase3,06/03/2018,"Phase 3 data released April 9, 2018. Overall survival endpoint met. Presentation at ASCO June 2018 HR 0.69."
1050,JNJ,Erdafitinib,Urothelial cancer,phase2,06/03/2018,Phase 2 data presented at ASCO 2018 - ORR 40%.
1051,NVS,Kisqali plus fulvestrant: MONALEESA-3,Breast cancer - (post-menopausal),phase3,06/03/2018,Phase 3 data presented at ASCO 2018 - PFS 20.5 months v 12.8 months 
1052,CELG,Lico-cel (CD-19 JCAR017) - TRANSCEND,r/r B cell non-Hodgkin lymphoma - cancer,phase1,06/03/2018,"Phase 1 data presented at ASCO 2018. 49% ORR, 46% CR at 6 months."
1053,IMMU,SACTUZUMAB GOVITECAN (IMMU-132) - TROPICS-02,HR+/HER2- metastatic breast cancer,phase2,06/03/2018,Presentation at ASCO June 2018. ORR 31%.
1054,MRK,KEYTRUDA + carboplatin-paclitaxel or nab-paclitaxel KEYNOTE-407,Squamous non-small cell lung cancer (sNSCLC),phase3,06/03/2018,"Noted May 3, 2018 that sBLA filing has been submitted. Met OS and PFS endpoints - presentation at ASCO June 2018 noted HR=0.64."
1055,MRSN,XMT1522,HER2 - breast cancer,phase1,06/04/2018,Phase 1 dose escalation at ASCO June 2018. SD rate 11/13 at higher doses.
1056,AGIO,Enasidenib or ivosidenib with VIDAZA,Frontline AML with IDH1 or IDH2 mutation,phase1.5,06/04/2018,"Phase 1/2 updated data at ASCO June 2018. ORR of 78%, CR Rate of 44%."
1057,BMY,CM-227 – Opdivo + Yervoy,First-line Non-small cell lung cancer (NSCLC),phase3,06/04/2018,"Phase 3 interim data released February 5, 2018 - co-primary endpoint of PFS met. Data presented at ASCO 2018 - HR  0.74."
1058,MEIP,ME-344,HER2-negative Breast Cancer,phase1,06/04/2018,Phase 1 data presented at ASCO June 2018. Noted primary endpoint P=0.06.
1059,MEIP,ME-401,Relapsed/refractory Follicular Lymphoma/Chronic Lymphocytic Leukemia (CLL),phase1b,06/04/2018,Phase 1b data presented at ASCO June 2018. ORR 90%.
1060,GSK,Niraparib - (QUADRA trial),Ovarian cancer,phase3,06/04/2018,Additional data at ASCO 2018 ORR 29%.
1061,IDRA,Tilsotolimod + ipilimumab - ILLUMINATE 204,Cancer - melanoma,phase2,06/04/2018,Phase 2 data at ASCO 2018. 38% ORR.
1062,GSK,Niraparib and Keytruda (TOPACIO),Triple-negative Breast Cancer or Ovarian Cancer ,phase1.5,06/04/2018,Phase 1/2 trial ongoing. Data at ASCO 2018 noted ORR 25%.
1063,AGEN,AGEN2034 (anti-PD-1),Cervical cancer,phase1,06/04/2018,Phase 1 presentation at ASCO 2018. 42% ORR.
1064,AZN,Lynparza,Castration-Resistant Prostate Cancer,phase2,06/04/2018,Phase 2 presentation at ASCO 2018. rPFS 13.8mths.
1065,MRK,Lynparza,Castration-Resistant Prostate Cancer,phase2,06/04/2018,Phase 2 presentation at ASCO 2018. rPFS 13.8mths.
1066,AGEN,AGEN1884 (anti-CTLA-4),Solid cancers,phase1,06/04/2018,Phase 1 presentation at ASCO 2018. 31% ORR.
1067,INFI,IPI-549 + Nivolumab (MARIO-1),Solid tumors,phase1,06/04/2018,Data presented at ASCO June 2018. PR 7%.
1068,CTMX,CX-072 - PROCLAIM-CX-072,Solid tumors,phase1.5,06/04/2018,Phase 1/2 initial data released at ASCO 2018. 15% ORR.
1069,DVAX,SD-101 + Pembrolizumab,Melanoma and head and neck squamous cell carcinoma (HNSCC),phase1.5,06/04/2018,Phase 1/2 data released at ASCO 2018. ORR 70%.
1070,MYL,MYL-1401H,Neulasta biosimilar,approved,06/04/2018,"Approval announced June 4, 2018."
1071,PTLA,Cerdulatinib (PRT2070),Refractory non-Hodgkin lymphoma and chronic lymphocytic leukemia - cancer,phase2,06/04/2018,Phase 2 interim data at ASCO June 2018. ORR 47%.
1072,CALA,CB-839 plus capecitabine,Solid tumors,phase1,06/04/2018,Phase 1 presentation at ASCO June 2018. PFS 26 weeks.
1073,VXRT,BTA074 5% topical gel (teslexivir),Condyloma,phase2,06/04/2018,Phase 2 trial did not meet primary endpoint.
1074,XLRN,Luspatercept Extension Study - PACE-MDS,Myelodysplastic Syndromes,phase2,06/04/2018,Phase 2 updated data at ASCO June 2018. 55% achieved a clinically meaningful erythroid improvement.
1075,PLX,OPRX-106,Ulcerative Colitis,phase2,06/05/2018,"Phase 2 data released March 13, 2018 - key endpoints met. Data presented at DDW Meeting - 67% of patients experienced a clinical response."
1076,LLY,Mirikizumab (LY3074828),Ulcerative Colitis,phase2,06/05/2018,"Phase 2 data presented at DDW June 5, 2018. 41.3-59.7% achieved clinical response vs 20.6% for placebo."
1077,LLY,KEYTRUDA + chemo (KEYNOTE-021),First-Line Nonsquamous Non-small cell lung cancer (NSCLC),approved,06/05/2018,"FDA approval (label expansion) announced June 5, 2018."
1078,MRK,KEYTRUDA + chemo (KEYNOTE-021),First-Line Nonsquamous Non-small cell lung cancer (NSCLC),approved,06/05/2018,"FDA approval (label expansion) announced June 5, 2018."
1079,ABBV,ABT-494 upadacitinib,Rheumatoid arthritis,phase3,06/05/2018,"Phase 3 trial met all endpoints - June 5, 2018. Regulatory filing due 2H 2018."
1080,PTI,PTI-801 + Symdeko,Cystic fibrosis,phase1,06/06/2018,"Phase 1 additional data released June 6, 2018. Final data due 3Q 2018."
1081,RHHBY,MabThera/ Rituxan (rituximab),Pemphigus vulgaris,approved,06/07/2018,"Approval announced June 7, 2018."
1082,AZN,Lanabecestat (AZD3293) - AMARANTH,Early Alzheimer's disease,phase3,06/11/2018,Announced discontinuation of trial due to futility.
1083,LLY,Lanabecestat (AZD3293) - AMARANTH,Early Alzheimer's disease,phase3,06/11/2018,Announced discontinuation of trial due to futility.
1084,AGN,ATOGEPANT,Chronic migraine,phase23,06/11/2018,"Phase 2b top-line data released June 11, 2018 - primary endpoint met."
1085,ABBV,Venclexta (MURANO),Relapsed or refractory Chronic Lymphocytic Leukemia (CLL),approved,06/11/2018,"Approval announced June 11, 2018."
1086,RHHBY,Venclexta (MURANO),Relapsed or refractory Chronic Lymphocytic Leukemia (CLL),approved,06/11/2018,"Approval announced June 11, 2018."
1087,AMGN,KYPROLIS (ASPIRE),Relapsed Multiple Myeloma,approved,06/11/2018,"sNDA approval announced June 11, 2018."
1088,LGND,KYPROLIS (ASPIRE),Relapsed Multiple Myeloma,approved,06/11/2018,"sNDA approval announced June 11, 2018."
1089,GLMD,Aramchol - ARMOR,Non-Alcoholic Steatohepatitis (NASH),phase2b,06/12/2018,"Phase 2b data released June 12, 2018 - mixed data."
1090,MRK,KEYTRUDA,Cervical cancer,approved,06/12/2018,"Approval announced June 12, 2018."
1091,VTVT,Azeliragon - STEADFAST ,Mild Alzheimer’s disease,phase3,06/12/2018,"Phase 3 data from Part A released April 9, 2018 did not meet endpoints. Part B data released June 12, 2018 also did not meet endpoints."
1092,IDRA,IMO-8400,Dermatomyositis,phase2,06/12/2018,"Phase 2 data released June 12, 2018 - primary endpoint not met."
1093,PSTI,PLX-PAD (stem cells),"Intermittent claudication, or IC",phase2,06/12/2018,"Phase 2 data released June 12, 2018 - primary endpoint met."
1094,MRK,Keytruda,Relapsed or Refractory Primary Mediastinal Large B-Cell Lymphoma (PMBCL),approved,06/13/2018,"Approval announced June 13, 2018."
1095,RHHBY,Avastin (bevacizumab) + chemo,Ovarian cancer,approved,06/13/2018,"FDA approval announced June 13, 2018."
1096,SCPH,Furoscix,Heart failure,crl,06/13/2018,"CRL issued June 13, 2018 (10 days early). Additional trials required."
1097,TEVA,Fremanezumab,Cluster headache,phase3,06/15/2018,"Phase 3 trial to be terminated due to lack of efficacy - noted June 15, 2018."
1098,GBT,GBT440 HOPE-KIDS 1,Sickle cell disease - children age 6-17.,phase2a,06/15/2018,"Phase 2a Part B data released EHA June 15, 2018."
1099,EPZM,Tazemetostat,Follicular lymphoma,phase2,06/15/2018,Phase 2 data released at EHA June 2018. Noted FL patients with wild-type ORR 33%; EZH2 ORR 71%.
1100,MOR,MOR208 + idelalisib (COSMOS),Chronic Lymphocytic Leukemia,phase2,06/15/2018,Phase 2 presentation at EHA June 2018. ORR 82%. CR 9%.
1101,KDMN,KD025 - ROCKstar (KD025-213),Chronic graft-versus-host disease (cGVHD),phase2,06/15/2018,Updated data at EHA June 2018 noted ORR 67%.
1102,TGTX,TGR-1202,Myelofibrosis,phase1,06/15/2018,Phase 1 updated data released at EHA June 2018. 2 patients (9%) achieved a durable complete remission.
1103,BLUE,LentiGlobin - HGB-207 Northstar-2,non-β0/β0 transfusion-dependent thalassemia (TDT),phase3,06/15/2018,Data released at EHA June 2018. 7/8 patients producing ≥ 7.6 g/dL of HbAT87Q and are maintaining hemoglobin levels of 11.1 – 13.3 g/dL by 6 months.
1104,BLUE,LentiGlobin - HGB-206,Sickle disease,phase1.5,06/15/2018,Update at EHA June 2018. All patients (4) in Group C with ≥ 3 months follow-up producing ≥ 30% anti-sickling HbA.
1105,ARQL,ARQ 531,B-cell malignancies,phase1,06/15/2018,Phase 1 data EHA June 2018. 29-35% tumor reduction.
1106,BPMC,Avapritinib BLU-285 - EXPLORER,Advanced Systemic mastocytosis (SM),phase1,06/15/2018,"Phase 1 updated data due at EHA June 15, 2018. ORR 83%."
1107,BMY,Empliciti (elotuzumab) - ELOQUENT-3,Relapsed/refractory multiple myeloma ,phase2,06/17/2018,"Phase 2 trial met primary endpoint - noted June 17, 2018. HR HR 0.54. Median PFS 10.3 months."
1108,RYTM,Setmelanotide (basket),"POMC Heterozygous Deficiency Obesity, Alstrom Syndrome, POMC Epigenetic Disorders",phase2,06/18/2018,"Initial data released June 18, 2018: Alstrom Syndrome - Phase 2 proof of concept achieved. Phase 3 trial planned; POMC Heterozygous Deficiency Obesity - 3/4 patients discontinued; POMC Epigenetic Disorders - positive data from one patient released."
1109,ZIOP,Sleeping beauty - TCR-T cell therapy,Solid tumors,phase1,06/18/2018,"Phase 1 trial placed on clinical hold - June 18, 2018."
1110,OBSV,OBE2109,Endometriosis,phase2b,06/18/2018,"Phase 2b trial met endpoints - June 18, 2018."
1111,TGTX,TG-1101 (ublituximab),Relapsing forms of Multiple Sclerosis (RMS),phase2a,06/18/2018,"Phase 2a updated data released at EAN June 18, 2018. Annualized Relapse Rate (ARR) of 0.07."
1112,SLDB,SGT-001,Duchenne Muscular Dystrophy,phase1.5,06/18/2018,"Clinical hold announced March 14, 2018. Hold released June 18, 2018."
1113,BHC,DUOBRII (halobetasol propionate and tazarotene),Psoriasis,crl,06/18/2018,"CRL issued June 18, 2018."
1114,PTCT,RG7916 - FIREFISH,Spinal Muscular Atrophy (SMA) Type 1,phase1,06/18/2018,"Updated positive Phase 1 data released June 16, 2018."
1115,ANIK,Cingal,Osteoarthritis,phase3,06/19/2018,"Phase 3 trial did not meet primary endpoint - June 19, 2018."
1116,SRPT,Microdystrophin gene therapy,Duchenne muscular dystrophy,phase1.5,06/19/2018,"Phase 1/2 positive data from three patients presented June 19, 2018."
1117,KZIA,Cantrixil,Ovarian cancer ,phase1,06/19/2018,"Phase 1 initial data released June 19, 2018. 2/5 SD. One PR."
1118,ARGX,Efgartigimod (ARGX-113),Pemphigus vulgaris (PV),phase2,06/20/2018,"Phase 2 interim data released June 20, 2018, disease control observed in 4/6 patients."
1119,INCY,Ruxolitinib,Graft versus host disease,phase2,06/21/2018,"Phase 2 pivotal data released June 21, 2018. Primary endpoint met. sNDA filing due 3Q 2018."
1120,INCY,INCB50465  (CITADEL-202),Diffuse large B cell lymphoma,phase2,06/21/2018,"Phase 2 trial to be discontinued - noted June 21, 2018."
1121,HRTX,HTX-011,Total knee arthroplasty,phase2b,06/21/2018,"Phase 2 data released June 21, 2018. Primary endpoint met."
1122,PFE,Encorafenib and cetuximab - BEACON CRC,BRAF-Mutant Colorectal Cancer,phase3,06/23/2018,"Updated data June 23, 2018 noted one-year overall survival rate for this cohort was 62%. Median OS not yet reached. ORR 48%."
1123,ZFGN,ZGN-1061,Diabetes,phase2,06/23/2018,"Phase 2 trial met all endpoints - noted June 23, 2018."
1124,MACK,MM-141 - CARRIE,Cancer - front line pancreatic cancer,phase2,06/25/2018,"Phase 2 data released June 25, 2018 - endpoints not met."
1125,SPHS,Topsalysin (PRX302),Localized low to intermediate risk prostate cancer,phase2b,06/25/2018,"Noted patient death after second dose - June 25, 2018."
1126,LLY,Empagliflozin,Type 1 Diabetes,phase3,06/25/2018,"Phase 3 trial met primary endpoint - noted June 25, 2018."
1127,PFE,IBRANCE - PALOMA-3,Breast cancer,phase3,06/25/2018,"Phase 3 overall survival secondary endpoint not met - June 25, 2018. PFS primary endpoint met (announced previously)."
1128,RHHBY,Tecentriq+cb+etoposide - IMpower133,Squamous non-small cell lung cancer (NSCLC),phase3,06/25/2018,"Phase 3 data trial met co-primary endpoints of PFS and OS - June 25, 2018."
1129,PFE,Binimetinib - COLUMBUS,BRAF mutant melanoma cancer,approved,06/27/2018,"Approval announced June 27, 2018."
1130,CARA,IV CR845,Acute pain,phase3,06/27/2018,"Phase 3 data released June 27, 2018. Company noted primary endpoint but data mixed."
1131,GBT,Voxelotor,Sickle cell disease,phase3,06/27/2018,"Phase 3 Part A data released June 27, 2018. Primary endpoint met. Met with FDA to discuss potential accelerated approval."
1132,AZN,Lynparza - SOLO 1,First-line ovarian cancer following platinum-based chemotherapy,phase3,06/27/2018,"Phase 3 data released June 27, 2018. PFS endpoint met."
1133,MRK,Lynparza - SOLO 1,First-line ovarian cancer following platinum-based chemotherapy,phase3,06/27/2018,"Phase 3 data released June 27, 2018. PFS endpoint met."
1134,AMGN,ABP 710,REMICADE biosimilar -  rheumatoid arthritis,phase3,06/27/2018,"Phase 3 data released June 27, 2018 confirmed non-inferiority compared to infliximab, could not rule out superiority."
1135,SMMT,Ezutromid,Duchenne muscular dystrophy,phase2,06/27/2018,"Phase 2 top-line data released June 27, 2018. Primary endpoint not met."
1136,LLY,Ixekizumab,Axial Spondyloarthritis,phase3,06/28/2018,"Phase 3 trial met primary endpoint - noted June 28, 2018."
1137,XLRN,Luspatercept,Myelodysplastic syndromes (MDS) cancer,phase3,06/28/2018,"Phase 3 trial met primary endpoint - June 28, 2018."
1138,CELG,Luspatercept,Myelodysplastic syndromes (MDS) cancer,phase3,06/28/2018,"Phase 3 trial met primary endpoint - June 28, 2018."
1139,GLPG,GLPG2737 - PELICAN,Adult CF patients who are homozygous for the Class II F508del mutation,phase3,06/28/2018,"Phase 2 top-line data lower than expectations released June 28, 2018."
1140,GEMP,Gemcabene - INDIGO-1,Severe Hypertriglyceridemia (SHTG),phase2b,06/28/2018,"Phase 2b primary endpoint met - June 28, 2018."
1141,DERM,Glycopyrronium tosylate,Primary axillary hyperhidrosis,approved,06/29/2018,"Approval announced June 29, 2018."
1142,TTNP,Ropinirole implant,Parkinson's disease,phase1.5,07/02/2018,"DSMB recommended trial to continue - July 2, 2018 but further enrollment has been postponed due to lack of resources."
1143,ALKS,Aripiprazole Lauroxil NanoCrystal Dispersion (ALNCD),Schizophrenia,approved,07/02/2018,"FDA approval announced July 2, 2018."
1144,CTIC,Pacritinib - PAC203,Myelofibrosis,phase2,07/02/2018,"Phase 2 interim analysis noted July 2, 2018 that trial should continue. "
1145,BIIB,BAN2401,Alzheimer’s disease,phase2,07/05/2018,"Phase 2 data released July 5, 2018 noted statistically significant slowing of disease progression on the ADCOMS  endpoint after 18 months."
1146,ZYNE,ZYN001,Healthy volunteers,phase1,07/05/2018,Phase 1 trial failed to meet target blood levels. Company to focus on ZYN002.
1147,RGLS,RGLS4326 ,Autosomal dominant polycystic kidney disease (ADPKD),phase1,07/05/2018,Phase 1 trial has been paused due to unexpected levels observations in mouse toxicity trial. 
1148,KMPH,KP415,ADHD,phase3,07/09/2018,"Top-line data released July 9, 2018 - primary endpoint met."
1149,AQST,KP415,ADHD,phase3,07/09/2018,"Top-line data released July 9, 2018 - primary endpoint met."
1150,CTIC,PIXUVRI - PIX306 Trial,B-cell non-Hodgkin lymphoma,phase3,07/09/2018,Phase 3 data released July 10. 2018. Primary endpoint not met.
1151,SCYX,SCY-078 - oral ibrexafungerp - VANISH 303,Vulvovaginal candidiasis (VVC),phase2b,07/10/2018,"Phase 2b data released July 10, 2018."
1152,BMY,CM-142 – Opdivo ,(dMMR) or microsatellite instability high (MSI-H) metastatic colorectal cancer (CRC),approved,07/11/2018,"Approval announced July 11, 2018."
1153,ABBV,IMBRUVICA (ibrutinib),Diffuse large B-cell lymphoma (DLBCL),phase3,07/11/2018,"Phase 3 trial did not meet primary endpoint - noted July 11, 2018."
1154,JNJ,IMBRUVICA (ibrutinib),Diffuse large B-cell lymphoma (DLBCL),phase3,07/11/2018,"Phase 3 trial did not meet primary endpoint - noted July 11, 2018."
1155,SIGA,TPOXX,Smallpox,approved,07/13/2018,"FDA approval announced July 13, 2018."
1156,ADXS,Axalimogene filolisbac + durvalumab,Recurrent or refractory HPV-associated cervical cancer and head & neck cancer,phase1.5,07/13/2018,"Clinical hold announced March 2018 released July 13, 2018."
1157,PFE,XTANDI (PROSPER),Non-metastatic high risk hormone-sensitive prostate cancer,approved,07/13/2018,"FDA approval announced July 13, 2018."
1158,JNJ,INVOKANA - CREDENCE,Diabetic Kidney Disease,phase3,07/16/2018,"Phase 3 trial stopped early due to positive efficacy - July 16, 2018."
1159,RCUS,AB122,Healthy volunteers,phase1,07/17/2018,"Phase 1 data released July 17, 2018. Safe and well tolerated."
1160,PULM,Pulmazole (PUR1900),Allergic bronchopulmonary aspergillosis in patients with asthma. ,phase1,07/17/2018,"Phase 1 Part 3 data released July 17, 2018 - safe and well tolerated"
1161,LLY,Tanezumab,Osteoarthritis,phase3,07/18/2018,"Phase 3 data released July 18, 2018 - co-primary endpoints met."
1162,PFE,Tanezumab,Osteoarthritis,phase3,07/18/2018,"Phase 3 data released July 18, 2018 - co-primary endpoints met."
1163,CBIO,Marzeptacog alfa,Hemophilia,phase2,07/18/2018,"Phase 2 interim data released July 18, 2018. Phase 2 portion of trial to be completed by end of 2018."
1164,JNJ,D/C/F/TAF,HIV,approved,07/18/2018,"FDA Approval announced July 17, 2018."
1165,MRSN,XMT1522,HER2 - breast cancer,phase1,07/19/2018,"Phase 1 partial clinical hold due to patient death announced July 19, 2018."
1166,LLY,Tradjenta (linagliptin) - CARMELINA CV outcomes,Type 2 Diabetes,phase3,07/19/2018,"Phase 3 trial met primary endpoint - July 19, 2018."
1167,AGN,ABICIPAR,Age-related macular degeneration (AMD),phase3,07/19/2018,"Phase 3 data released July 19, 2018. Primary endpoint met. "
1168,RHHBY,TECENTRIQ (atezolizumab) plus chemotherapy (carboplatin and Abraxane) - IMpower132,Squamous non-small cell lung cancer (NSCLC),phase3,07/19/2018,"Phase 3 data released July 19, 2018. PFS endpoint met, OS endpoint not yet met - final OS data due 2019."
1169,AGIO,Ivosidenib,IDH1m Relapsed/Refractory AML - cancer,approved,07/20/2018,"FDA Approval announced July 20, 2018."
1170,CELG,REVLIMID - AUGMENT,Relapsed or Refractory Follicular Lymphoma,phase3,07/23/2018,"Phase 3 data released July 23, 2018. Primary endpoint met. Regulatory filing due 1Q 2019."
1171,RETA,Bardoxolone - FALCON,Chronic Kidney Disease,phase2,07/23/2018,"Phase 2 full data released July 23, 2018. Primary endpoint met."
1172,GSK,Tafenoquine,Malaria,approved,07/23/2018,"FDA Approval announced July 23, 2018."
1173,XLRN,ACE-083,Charcot-Marie-Tooth disease (CMT),phase1.5,07/23/2018,"Phase 2 preliminary data presented July 23, 2018"
1174,BGNE,Tislelizumab - BGB-A317,Relapsed or refractory classical Hodgkin lymphoma (cHL),phase2,07/23/2018,"Phase 2 pivotal preliminary data released July 23, 2018. ORR 73%, CR 50%."
1175,NBIX,Elagolix ,Endometriosis,approved,07/24/2018,"FDA approval announced July 24, 2018."
1176,ABBV,Elagolix ,Endometriosis,approved,07/24/2018,"FDA approval announced July 24, 2018."
1177,GSK,Mepolizumab,Chronic obstructive pulmonary disease (COPD) with an eosinophilic phenotype,,07/25/2018,"Advisory Committee July 25, 2018 voted 3-16 against recommending approval. PDUFA date September 7, 2018."
1178,BIIB,BAN2401,Alzheimer’s disease,phase2,07/25/2018,"Phase 2 mixed data released July 25, 2018. High dose exhibited statistical improvement. Low doses missed."
1179,MRK,Keytruda KN-048,Head and neck squamous cell carcinoma (HNSCC),phase3,07/25/2018,"Phase 3 trial met OS primary endpoint - July 25, 2018. PFS endpoint not yet reached."
1180,CRMD,Neutrolin - LOCK-IT 100,Hemodialysis patients with central venous catheters,phase3,07/25/2018,"Phase 3 interim analysis July 25, 2018 by DSMB recommended trial to be stopped early as sufficient efficacy has been demonstrated."
1181,TORC,RTB101 - PROTECTOR 1,Respiratory Tract Infections,phase2b,07/25/2018,"Phase 2b data released July 25, 2018. Once daily treatment met primary endpoint. Low dose, twice daily and combo failed."
1182,AZN,Selumetinib - ASTRA,Thyroid cancer,phase3,07/26/2018,"Phase 3 trial did not meet primary endpoint - noted July 26, 2018."
1183,ATNX,tirbanibulin ointment,Actinic keratosis,phase3,07/26/2018,"Phase 3 data released July 26, 2018. Primary endpoint met."
1184,DRRX,RBP-7000,Schizophrenia,approved,07/27/2018,"FDA Approval announced July 27, 2018."
1185,TNXP,TNX-102 SL (Tonmya),Post-traumatic stress disorder (PTSD),phase3,07/27/2018,"Phase 3 trial halted due to insufficient efficacy - July 27, 2018."
1186,RDHL,RHB-104 MAP US2,Crohn’s disease,phase3,07/30/2018,"Phase 3 data released July 30, 2018. Primary endpoint met but further trial required."
1187,PGNX,Azedra,Pheochromocytoma,approved,07/30/2018,"FDA approval announced July 30, 2018."
1188,SNNA,SNA-001 ,Acne ,phase3,07/30/2018,"Phase 3 data released July 30, 2018 did not meet primary endpoint."
1189,TBPH,Ampreloxetine (TD-9855),nOH,phase2a,08/01/2018,"Phase 2a data released August 1, 2018 with Phase 3 trial to commence late 2018 or early 2019."
1190,SBPH,Inarigivir and Vemlidy,Hepatitis B (HBV),phase2,08/02/2018,"Phase 2 data from third cohort met primary endpoint - August 2, 2018. "
1191,PTGX,PTG-100,Ulcerative colitis,phase2b,08/06/2018,"Phase 2b trial discontinued following interim analysis - March 26, 2018. However, company noted August 6, 2018 that human error by CRO contributed to this decision. Will meet with FDA 2H to discuss future development."
1192,OVID,OV101 - NEPTUNE,Adolescents with Angelman syndrome,phase2,08/06/2018,"Phase 2 data released August 6, 2018. Primary endpoint met but twice-a-day group failed to score significantly better than placebo."
1193,BLPH,INOpulse delivery device,Pulmonary Arterial Hypertension (PAH),phase3,08/07/2018,"Phase 3 trial stopped due to futility - August 7, 2018."
1194,AMPE,Ampion,Osteoarthritis of the Knee,,08/07/2018,"Noted August 7, 2018 that further trials required before filing BLA."
1195,ONCE,SPK-8011,Hemophilia A,phase1.5,08/07/2018,"Phase 1/2 data updated data released August 7, 2018. 5/7 patients showed positive FVIII levels, but two patients showed low levels below 5%."
